x, y
0.9873266434061535, 0.04296586949453162
1.982747233715765, 0.027293462989428818
2.9719592701592585, 0.018505276212893777
3.97498380581036, 0.01395256409302026
4.958464170788603, 0.011201242786816097
5.968282190071675, 0.009369104175995673
6.9199586693866, 0.00802808763285245
7.914966797379234, 0.007201820583025362
8.976394522051613, 0.0064139830092689275
9.974526139279225, 0.0060093286062718075
10.896746906149755, 0.0054038642195637044
12.005892280551993, 0.004812712686896414
12.960725175363699, 0.004401552681465066
13.943986898315542, 0.004173929812010689
14.950911154365599, 0.003753387963456588
15.867810149545065, 0.00358515040729067
16.92708298144298, 0.0035678860569232067
17.995744991690156, 0.0035165889318136486
18.937663842789842, 0.003005989363224176
19.895030257942107, 0.0031699192698645554
20.93635997515067, 0.0029627708831541357
21.95738185852584, 0.002619624536385073
22.989078351780435, 0.0027293468015354132
23.865447304129695, 0.00255715392248485
24.986796764291427, 0.002413234603138602
26.11638081437504, 0.0024366464092251097
27.01991890228708, 0.0021544346900318843
27.9547163397281, 0.0022664491193774925
28.823647859243138, 0.0019514458029336564
29.973368914035373, 0.002038094368520368
30.747785695364502, 0.0019049093563516953
30.747785695364502, 0.0019049093563516953
31.974273580266317, 0.0018729951874227044
33.08047486513918, 0.0018549997428189081
33.877505470527694, 0.0016640794097302675
34.93053823781244, 0.0017548290263512236
35.955121369946845, 0.0017463786185010239
36.75884445466798, 0.0015628608668365996
39.749832900803206, 0.0016204796657578974
38.748689665371714, 0.0016010411566241805
37.26236410478293, 0.0016283214712122162
41.61753112982914, 0.0014820387341002734
44.019839328639804, 0.0014020080589466017
40.846250012971126, 0.0012915498235688916
42.69279612913106, 0.001218860486415172
44.774833272266505, 0.0012071494210564796
45.542776283032175, 0.001139210198224466
47.27894154384615, 0.0011955513183592602
48.089833066193414, 0.0011013585234141501
48.335791730749676, 0.0011586208981224475
49.75357798266831, 0.0011812100490963184
51.03905262622446, 0.0011586208981224475
51.73815455109093, 0.001114730301914851
54.16913985533836, 0.0011530415402557386
54.16913985533836, 0.0011530415402557386
54.72468862616711, 0.0010318744641121687
52.53610370699455, 0.0009551771472056985
55.56869861212849, 0.0009667741131072047
56.52176958074687, 0.0009505774760457888
57.982112827423194, 0.0009391747973569568
58.576766750253654, 0.0008610146092622827
59.37911570228962, 0.0008204387453965371
61.6427448947545, 0.0008589391506636376
62.91358932641805, 0.0008184610941110917
60.60332395976034, 0.0007503469653632544
67.91712952283032, 0.0007594570536825497
63.34299993221591, 0.0007115433563410131
65.31195844521811, 0.000725416021961742
66.88556432575389, 0.0006796497029162313
68.96460438242589, 0.0007047066996075086
65.64600082079939, 0.0005922931929461413
73.4434008926492, 0.0006714969459041974
71.5936481106879, 0.0006321768578435377
70.6262526239978, 0.000621585822164883
69.31736443374453, 0.0006082291112515096
81.74881991078946, 0.0005908654819793416
78.6130916673139, 0.0006245935626717529
75.85517773957388, 0.0005908654819793416
77.68280864517912, 0.00056166321168875
74.44938396425533, 0.0005443135102408111
71.95981860780266, 0.0005199158258973372
76.63313454056335, 0.000500220500520955
80.91897218764542, 0.0005262282111153296
78.21306571654767, 0.0005430014533453353
84.14667766443326, 0.0004966115324717073
82.58722082576462, 0.0004380356932606344
87.20605081758202, 0.0004487367928024302
92.86946084772443, 0.0004563826997929444
89.15541195165504, 0.00041438159335997467
84.00369240983618, 0.0004044999168391773
87.50313023678136, 0.00041941266976550405
86.02765107697243, 0.0003672736064049793
94.14157913996523, 0.0003798959875172544
102.49651529406816, 0.0003525087379981382
98.7326643406154, 0.0003593813222618739
94.46228539132268, 0.0003247360779866447
100.25540218958335, 0.00033508674304197166
97.06783259993611, 0.0003263072965085079
94.46228539132268, 0.0003424452477154922
92.55416235022676, 0.0003013253858816762
105.14470014439756, 0.00032006719928527974
97.73035968266174, 0.00028436658013711416
106.22304491930781, 0.0002809554528751539
102.84568378579603, 0.0002625954347134832
100.76821743934907, 0.00024366473066124398
108.41296954678059, 0.0002520389482483218
112.5458495973743, 0.00027359427423105084
119.04238627050005, 0.0002716204587760096
115.84698621936114, 0.0002569527524263875
111.78288634164981, 0.0002350008335344534
116.04417291846552, 0.0002407418435725567
119.65129860554384, 0.00023670854097029292
122.32592483797028, 0.00022884368976145515
104.25445556532027, 0.00021700913662307177
106.04254665670928, 0.00021700913662307177
109.33872430629992, 0.00020878844907607763
113.31402038484774, 0.00020430197776846628
125.91399091237311, 0.00019003169103541561
130.93646298640823, 0.0001784729091901777
122.74270864402544, 0.00017590705234423815
117.2343006886102, 0.00017718533624130707
119.24501195778166, 0.0001837177195630259
126.34293425906294, 0.000181513928521883
140.15309806241024, 0.00017675816941285365
150.7857729176593, 0.00015894906233098995
141.59048255041102, 0.00016322565929713468
132.7299510822664, 0.00016640794097302675
120.8783576627052, 0.00015856586037826697
127.2052757105575, 0.00015704238441012147
